sample_id,n_cells_before,lo_genes,hi_genes,lo_counts,hi_counts,cells_failed
GSM5139852_RB01_rep1,6990,300,5187.0,500,18112.0,108
GSM5139853_RB01_rep2,6826,300,5044.0,500,17335.0,94
GSM5139854_RB02_rep1,4185,300,4027.0,500,10915.0,325
GSM5139855_RB02_rep2,2140,300,3981.0,500,10420.0,167
GSM5139856_RB03_rep1,7596,300,4918.0,500,13741.0,438
GSM5139857_RB03_rep2,7638,300,4294.5,500,12262.0,554
GSM5139858_RB04,14093,300,6417.0,500,19375.0,280
GSM5139859_RB05,13016,300,5911.0,500,19693.0,404
GSM5139860_RB06,14407,300,5667.0,500,16793.0,228
GSM5139861_RB07,14681,300,5316.0,500,16133.0,246
S1_in1,10453,300,10600.0,500,46116.0,215
S2_in2,15386,300,8431.0,500,30055.0,542
S3_ex1,11099,300,9239.0,500,36014.0,158
S4_ex2,13370,300,8656.0,500,36555.5,226
